PDBID,pK
1w8l,0.49000
1zsb,0.60000
1wkm,0.82000
1p0y,1.00000
2a31,1.01000
1aw1,1.05000
1maw,1.10000
1f9g,1.28000
1b74,1.30000
2fah,1.30000
1a0t,1.30000
1qpb,1.36000
1o4l,1.40000
1o4m,1.40000
1o4n,1.40000
2hdq,1.40000
1ozv,1.44000
1utp,1.44000
1tnk,1.49000
1iig,1.57000
1w8m,1.60000
1a7t,1.64000
1rdj,1.66000
1hgj,1.66000
2sfp,1.70000
2hdr,1.72000
1u2y,1.74000
1ga8,1.80000
1af6,1.82000
1bra,1.82000
1d5r,1.82000
1y1m,1.82000
1rdn,1.84000
1fd7,1.85000
2ay2,1.88000
1tnl,1.88000
1f2p,1.90000
1f2o,1.91000
1efi,1.92000
1tnj,1.96000
2gga,1.96000
1wdq,1.98000
1ing,2.00000
2hds,2.00000
3pce,2.00000
1jfh,2.05000
1rdi,2.06000
1qq9,2.06000
1njj,2.10000
1qx1,2.12000
1p2g,2.13000
1uxb,2.15000
2ay9,2.16000
4tim,2.16000
1w1v,2.20000
1x8d,2.21000
1icj,2.22000
1m0n,2.22000
2aac,2.22000
1ajp,2.23000
1rdl,2.24000
2ay8,2.24000
1ukt,2.25000
1ew8,2.26000
1hge,2.27000
1uto,2.27000
1ps3,2.28000
2ay1,2.29000
3pcg,2.30000
2hdu,2.30000
2ay7,2.30000
1w1p,2.30000
1o4g,2.30000
1n1g,2.30000
1hyv,2.30000
1uxa,2.30000
1m0o,2.31000
1z6d,2.34000
1qi0,2.35000
1o4j,2.36000
6rnt,2.37000
1nwl,2.39000
1f73,2.39000
3pcb,2.40000
1o4r,2.41000
1o4h,2.44000
1oba,2.44000
1t4s,2.44000
1gbq,2.46000
1o4o,2.46000
1utl,2.47000
1tok,2.47000
1gyx,2.48000
1o4q,2.49000
1ai4,2.50000
1rq2,2.52000
1wdr,2.52000
1iup,2.54000
1il3,2.55000
1kf0,2.55000
1gwv,2.57000
2ay5,2.59000
2c4v,2.60000
1o4p,2.60000
1cze,2.62000
1w1y,2.62000
1ajn,2.63000
1g5f,2.64000
1o4i,2.64000
1il5,2.66000
1hgi,2.68000
1o8b,2.68000
2fzc,2.70000
1tc1,2.70000
1ylv,2.70000
1gym,2.70000
1lt5,2.70000
1br5,2.70000
1pfu,2.72000
1dg9,2.74000
2qwb,2.74000
1rql,2.75000
1ny2,2.76000
2bet,2.77000
2bza,2.80000
1p17,2.82000
2a3a,2.82000
1czc,2.82000
1il4,2.85000
2a29,2.85000
1e34,2.88000
1cet,2.89000
1iih,2.89000
1ugp,2.89000
2ay4,2.91000
2pri,2.91000
2fkf,2.92000
2fwp,2.92000
2fw6,2.92000
2aay,2.92000
2aa9,2.92000
1zp5,2.92000
1p6e,2.92000
1o4k,2.92000
1eef,2.92000
1tng,2.93000
1p6d,2.94000
1f4e,2.96000
1w1t,2.96000
1ykp,2.96000
2br6,2.96000
1z9h,3.00000
1yc5,3.00000
1ws4,3.00000
1wbo,3.00000
1wbg,3.00000
1ecq,3.00000
1ux7,3.00000
1mcz,3.00000
1hqg,3.00000
1zm7,3.00000
1w7h,3.00000
2h2e,3.00000
1utm,3.01000
1ogd,3.03000
1ws5,3.03000
2ggu,3.03000
1f74,3.05000
1gvk,3.05000
1gzg,3.05000
1o41,3.05000
1pum,3.05000
1uj5,3.05000
1uj6,3.05000
1s26,3.07000
1y1z,3.08000
1hiy,3.08000
1ugw,3.09000
1a5v,3.10000
1af2,3.10000
1ec9,3.10000
1pu7,3.10000
1pu8,3.10000
1swi,3.10000
1k2i,3.11000
1uod,3.11000
2ay6,3.11000
1h9l,3.12000
1ax0,3.13000
1e6q,3.15000
1eei,3.15000
1k9q,3.15000
1noi,3.15000
1noj,3.15000
1nok,3.15000
1rin,3.15000
3at1,3.18000
1ro7,3.18000
1b9s,3.18000
1lbk,3.18000
1o6i,3.19000
1axz,3.20000
6tim,3.21000
1qwu,3.22000
2bv4,3.22000
1zc9,3.22000
1x6u,3.22000
1tog,3.22000
1q5l,3.22000
1k1y,3.22000
1ew9,3.22000
1evh,3.22000
1e72,3.22000
1e6s,3.22000
1br6,3.22000
1px4,3.23000
1gx4,3.24000
1v2j,3.25000
5yas,3.26000
1l5s,3.26000
1axr,3.27000
1bcu,3.28000
1g9t,3.28000
1x07,3.28000
1ax1,3.29000
1zd2,3.30000
2hd1,3.30000
2aqb,3.30000
2aq7,3.30000
1tpw,3.30000
1zd3,3.30000
1o4e,3.30000
1lt6,3.30000
1k9r,3.30000
1d7j,3.30000
1phw,3.30000
1pzp,3.31000
1pzo,3.32000
1jlr,3.33000
2a3b,3.33000
1ahy,3.36000
1v2v,3.37000
1tnh,3.37000
1v2u,3.37000
1z34,3.38000
2fzg,3.38000
1toj,3.39000
223l,3.40000
220l,3.40000
1way,3.40000
1uz4,3.40000
1l83,3.40000
1m83,3.40000
1il9,3.40000
1ikt,3.40000
1hxk,3.40000
1f8d,3.40000
1bxr,3.40000
1jt1,3.40000
4yas,3.41000
1hyz,3.42000
2sim,3.42000
1kti,3.43000
2c57,3.43000
1wcc,3.46000
1t48,3.46000
1moq,3.46000
1osv,3.48000
1tsi,3.48000
2c90,3.48000
1c5o,3.49000
1gzc,3.49000
1pzj,3.49000
1utn,3.49000
2ggx,3.49000
1gz9,3.51000
1ysg,3.52000
1o4f,3.52000
2fyv,3.52000
1jys,3.52000
1imx,3.52000
1o4d,3.52000
2b4m,3.53000
1vjd,3.54000
2hwg,3.55000
2qwc,3.55000
1v2r,3.55000
2ay3,3.55000
1h46,3.57000
1vjc,3.58000
1gww,3.59000
1nli,3.59000
2gsu,3.59000
2bgr,3.60000
8gpb,3.60000
2fzk,3.60000
1zd4,3.60000
3jdw,3.60000
1uys,3.60000
1d7i,3.60000
1d1p,3.60000
1bo5,3.60000
1w31,3.60000
1g9s,3.61000
1pb9,3.62000
3pcc,3.62000
1gyy,3.64000
1j5i,3.64000
2azr,3.64000
2qwg,3.64000
1b9v,3.65000
3pcn,3.66000
1l6y,3.66000
1c3x,3.68000
1qsc,3.68000
1l2z,3.69000
2a8g,3.69000
2bmz,3.70000
2bjm,3.70000
1wht,3.70000
1w70,3.70000
1uye,3.70000
2fx6,3.70000
1uy7,3.70000
1uy6,3.70000
1uyd,3.70000
1loq,3.70000
1i43,3.70000
1gz4,3.70000
1gz3,3.70000
1fwu,3.70000
1e37,3.70000
1bcj,3.70000
1pdz,3.70000
4tln,3.72000
2am4,3.72000
1ugy,3.72000
1fwv,3.72000
1ai5,3.72000
1grp,3.72000
1b2m,3.73000
1f5k,3.74000
1ihy,3.74000
1oh4,3.74000
1kui,3.77000
1mpl,3.77000
1wbv,3.79000
2hb1,3.80000
1nje,3.80000
2ggd,3.80000
1kug,3.80000
1li6,3.80000
2hu6,3.81000
1hn4,3.82000
1r0x,3.83000
1r10,3.83000
1yhm,3.83000
1bky,3.84000
1j15,3.84000
1j16,3.84000
1utj,3.84000
1sre,3.85000
1n1v,3.85000
1n1t,3.85000
1aj7,3.87000
1v16,3.87000
2f6y,3.87000
1m0q,3.89000
1xfv,3.89000
2ctc,3.89000
2rkm,3.90000
1avn,3.90000
1exw,3.90000
1slg,3.90000
2gvv,3.90000
9icd,3.90000
1kuk,3.91000
1ahx,3.92000
1pr5,3.92000
1h5v,3.93000
2a5b,3.93000
2cbz,3.93000
1v1m,3.94000
1z3t,3.94000
1mrs,3.96000
1x9d,3.96000
2ad5,3.96000
2fpz,3.96000
1l5q,3.97000
1ai6,3.97000
1v11,3.98000
1ax2,3.99000
2g8r,3.99000
1tlo,4.00000
2c8y,4.00000
2bow,4.00000
1z3c,4.00000
1wc6,4.00000
1wc1,4.00000
1utt,4.00000
1tni,4.00000
1nu3,4.00000
1mx1,4.00000
1lgw,4.00000
1kqb,4.00000
1j4k,4.00000
1gfz,4.00000
1fhr,4.00000
1e5j,4.00000
1a86,4.00000
1a7c,4.00000
1b42,4.01000
1c5z,4.01000
1v2w,4.01000
2c02,4.04000
1li2,4.04000
1hi5,4.04000
1l7x,4.04000
1awi,4.05000
1pwy,4.05000
1r4w,4.05000
1toi,4.05000
1tuf,4.05000
8a3h,4.06000
3mag,4.07000
3mct,4.07000
1wax,4.07000
1gj4,4.07000
1hyo,4.07000
1at6,4.07000
1lb6,4.08000
1n2v,4.08000
1y2g,4.08000
1yci,4.08000
2d06,4.08000
1o0n,4.09000
1y2b,4.09000
1ai7,4.09000
1jn2,4.09000
1c5t,4.10000
1gwm,4.10000
1lxf,4.10000
1odj,4.10000
1rry,4.10000
1rzx,4.10000
1d6s,4.11000
1p19,4.11000
1z3v,4.11000
1uy8,4.12000
1i33,4.12000
1e55,4.12000
1bsk,4.12000
1v2q,4.13000
1gny,4.14000
1m2x,4.15000
1q91,4.15000
2alv,4.15000
2toh,4.15000
1mns,4.17000
1v2s,4.17000
1o9e,4.18000
1at5,4.19000
1hi3,4.19000
1k3t,4.19000
1c5y,4.20000
1c87,4.20000
1ghw,4.20000
1odi,4.21000
1qk4,4.21000
1ulg,4.21000
2j83,4.21000
1t5f,4.22000
1ua4,4.22000
1pzi,4.22000
1gx0,4.22000
1joj,4.22000
1aze,4.22000
1kv5,4.22000
1prl,4.23000
1prm,4.23000
2bes,4.24000
1juq,4.25000
1li3,4.25000
1g6r,4.27000
1m5w,4.27000
1uyg,4.27000
2g96,4.28000
1ml1,4.28000
1e2l,4.29000
1v2l,4.29000
1v2m,4.29000
2exg,4.30000
2csm,4.30000
1w3k,4.30000
1rs2,4.30000
1z95,4.30000
1ppw,4.30000
1qm4,4.30000
1a30,4.30000
1det,4.30000
1xsc,4.30000
1mfg,4.30000
1ajq,4.31000
1rgk,4.31000
2tpi,4.31000
1gu3,4.32000
2boi,4.32000
4rsk,4.32000
1olx,4.33000
1e3v,4.34000
1z6s,4.34000
1zm6,4.35000
1yfz,4.35000
1ghv,4.35000
1t37,4.35000
1dy4,4.36000
1wbw,4.36000
1we2,4.36000
2ez7,4.36000
1bug,4.37000
1td7,4.37000
1qvt,4.38000
1bhf,4.38000
1p7m,4.38000
1jh1,4.39000
1uyc,4.39000
2avq,4.39000
1btn,4.40000
1jmq,4.40000
1p57,4.40000
1py1,4.40000
6cha,4.40000
6rsa,4.40000
7kme,4.40000
2csn,4.41000
1olu,4.41000
1i8j,4.41000
1l6s,4.41000
1no6,4.41000
1h00,4.42000
1rsi,4.42000
2f6v,4.43000
1rgl,4.43000
1rst,4.43000
2a3c,4.43000
2amt,4.44000
1k2v,4.44000
1qvu,4.46000
1v1k,4.46000
1w84,4.46000
1wvc,4.46000
2bj4,4.47000
2f70,4.47000
1qan,4.48000
1zkk,4.48000
1jaq,4.48000
1hi4,4.49000
1j14,4.49000
1o7o,4.49000
2prj,4.49000
1d6n,4.50000
1zkn,4.51000
1gi7,4.51000
1z4o,4.52000
1z4n,4.52000
2bua,4.52000
2a4m,4.52000
1xz8,4.52000
1gu1,4.52000
1mrn,4.52000
1uyf,4.52000
1ctt,4.52000
1a85,4.52000
1w80,4.54000
1szd,4.54000
1lzo,4.54000
1oko,4.54000
1b2h,4.54000
1amw,4.54000
1lyx,4.54000
1czo,4.55000
1h08,4.55000
1rrw,4.55000
1utc,4.55000
2cgv,4.56000
4erk,4.57000
5a3h,4.57000
1i41,4.57000
1w2g,4.57000
1bma,4.59000
1d04,4.59000
1fj4,4.59000
1iew,4.59000
1kak,4.59000
1l2s,4.59000
1vcj,4.59000
2c69,4.59000
2hpa,4.60000
1upf,4.60000
1u33,4.60000
1f7b,4.60000
1q9d,4.60000
1pa9,4.60000
1tx7,4.60000
2bo4,4.61000
1sm3,4.62000
2a5c,4.62000
1t5a,4.62000
1ofz,4.62000
2f6t,4.62000
1joc,4.62000
13gs,4.62000
1mn9,4.62000
1f4f,4.62000
1c85,4.64000
2brh,4.64000
1t49,4.66000
1bzj,4.66000
1h01,4.66000
1h4w,4.66000
1m1b,4.66000
2ca8,4.66000
2h23,4.67000
1c5p,4.68000
1nyy,4.68000
1ol1,4.68000
1xge,4.68000
3kiv,4.70000
2dw7,4.70000
2cex,4.70000
2c4w,4.70000
6gch,4.70000
1xos,4.70000
1gpy,4.70000
1fo2,4.70000
1c86,4.70000
1c5n,4.70000
1agw,4.70000
1h60,4.70000
1v2t,4.71000
1h7a,4.72000
1qxz,4.72000
1urc,4.72000
1v2o,4.73000
1v2p,4.73000
1m51,4.73000
1ce5,4.74000
1qaq,4.74000
1ru1,4.74000
1sv3,4.74000
1w4p,4.74000
3erk,4.74000
1q8t,4.76000
2cgw,4.76000
1uyk,4.77000
2dua,4.77000
2afw,4.77000
1str,4.77000
2b4l,4.77000
1pxi,4.77000
1h62,4.77000
1rti,4.77000
1l5r,4.77000
1eed,4.79000
1oss,4.79000
1ghz,4.80000
1qxy,4.80000
1tsv,4.80000
1ybg,4.80000
1b4d,4.81000
1p5e,4.81000
2cgx,4.81000
2gl0,4.82000
1ya4,4.82000
1y3p,4.82000
1xff,4.82000
1v1j,4.82000
2gzl,4.82000
1njt,4.82000
1f8e,4.82000
2ypi,4.82000
1aid,4.82000
1uy9,4.82000
1dud,4.82000
1uyh,4.84000
1ftk,4.84000
1bux,4.85000
6gpb,4.85000
2qwd,4.85000
1xgi,4.85000
1vkj,4.85000
1uu7,4.85000
1ymx,4.85000
1qji,4.85000
1o2p,4.85000
1n51,4.85000
1ecv,4.85000
1c83,4.85000
1tkc,4.85000
2brb,4.86000
1zd5,4.87000
2cgu,4.87000
2clx,4.88000
1pxj,4.89000
2aoc,4.89000
1z6f,4.89000
2j77,4.89000
1p1q,4.89000
1h61,4.89000
1h79,4.89000
1h0w,4.89000
1n0t,4.91000
2c93,4.92000
1y2f,4.92000
1nlt,4.92000
1jqy,4.92000
2a58,4.92000
1h1p,4.92000
1e1v,4.92000
1bzc,4.92000
1h4n,4.92000
1e2k,4.94000
2gss,4.94000
4ts1,4.94000
1jn4,4.95000
1pg2,4.96000
1uz8,4.96000
1tsy,4.96000
1t3t,4.96000
1pwq,4.96000
2c6i,4.96000
1nlp,4.96000
1gj5,4.96000
1elr,4.96000
1dar,4.96000
1cea,4.96000
1ao0,4.96000
1o5g,4.96000
2ew6,4.97000
1j4p,4.99000
1pip,5.00000
1ql7,5.00000
1r6z,5.00000
1sbr,5.00000
1sts,5.00000
1uvu,5.00000
3pax,5.00000
2aig,5.00000
2bgd,5.00000
4cts,5.00000
1byk,5.00000
1oai,5.00000
1yid,5.00000
1o35,5.00000
1w2h,5.00000
1nc3,5.00000
1cp6,5.00000
1f8a,5.00000
1fgi,5.00000
1gsf,5.00000
1c84,5.00000
1hlk,5.00000
1fv9,5.00000
1i6v,5.00000
1ih0,5.00000
1inf,5.00000
1jpl,5.00000
1kr3,5.00000
1hqf,5.00000
1nnb,5.00000
1ppi,5.01000
2i1r,5.01000
4est,5.02000
1fsg,5.02000
1u9l,5.02000
2cct,5.02000
2d0k,5.02000
1i1e,5.03000
1mfa,5.04000
1m5d,5.04000
1fkw,5.05000
1gi8,5.05000
1qxk,5.05000
1uu8,5.05000
2brc,5.05000
2h6k,5.06000
2c3l,5.07000
1enu,5.08000
1zkl,5.09000
1nw7,5.09000
1m48,5.09000
1yyy,5.09000
1t4j,5.10000
2h5a,5.10000
2am2,5.10000
1yvx,5.10000
1w7g,5.10000
1v0m,5.10000
1rlq,5.10000
1v0k,5.10000
1onz,5.10000
1b9t,5.10000
1od8,5.10000
1o0o,5.10000
1m6p,5.10000
1kmy,5.10000
1ez9,5.10000
1rlp,5.10000
1k4h,5.11000
1yp9,5.11000
2h6q,5.11000
1qaw,5.12000
1uv6,5.12000
1hti,5.13000
1gcz,5.13000
1w2x,5.14000
1y3x,5.14000
1zzz,5.14000
2br1,5.14000
3bls,5.14000
2go4,5.15000
2afx,5.15000
1thz,5.15000
1t1s,5.15000
1skj,5.15000
1s38,5.15000
1qxw,5.15000
1o0m,5.15000
1pb8,5.15000
1mzs,5.15000
1lkx,5.15000
1ljt,5.15000
1kna,5.15000
1jcx,5.15000
1qk3,5.15000
1jqd,5.16000
1oe0,5.16000
1q1m,5.16000
2f5t,5.17000
1q0b,5.17000
1xur,5.18000
1ocq,5.19000
1ogg,5.19000
1oxr,5.19000
1rnt,5.19000
2c5o,5.19000
1kll,5.20000
2brg,5.21000
1re1,5.21000
1nw5,5.21000
1o2r,5.21000
1ox9,5.21000
2hxm,5.22000
2gnj,5.22000
2gnf,5.22000
1zz2,5.22000
1w4o,5.22000
1pw6,5.22000
1ucn,5.22000
1j17,5.22000
1h1h,5.22000
1gjd,5.22000
1gi9,5.22000
1bq4,5.22000
16pk,5.22000
1o5c,5.22000
1b4z,5.23000
1ndw,5.23000
2vgc,5.24000
1zrz,5.24000
1s89,5.24000
1q8w,5.24000
1hk5,5.24000
1fh7,5.24000
1okw,5.25000
2bfr,5.25000
1v0o,5.26000
1w4q,5.26000
2brn,5.26000
1qca,5.27000
1f5l,5.28000
1ckb,5.28000
1b46,5.28000
1c88,5.29000
1wum,5.29000
1yxd,5.30000
1xbb,5.30000
1vyq,5.30000
1pr1,5.30000
1o0f,5.30000
1jg0,5.30000
1srg,5.30000
1g9d,5.30000
1g9c,5.30000
1g9b,5.30000
1g9a,5.30000
1di9,5.30000
1a69,5.30000
1h6h,5.30000
1hk4,5.31000
1mfd,5.31000
2f6z,5.32000
1oim,5.32000
1y20,5.32000
1lvu,5.32000
1al8,5.32000
1mqj,5.32000
2c80,5.33000
1aqc,5.34000
1hee,5.34000
1k06,5.34000
1k08,5.34000
1zgi,5.34000
1ql9,5.35000
1wb0,5.35000
2fxv,5.35000
1yvz,5.36000
1adl,5.36000
1oy7,5.36000
1w6y,5.36000
1gpk,5.37000
1sgu,5.37000
1g3e,5.38000
1ke0,5.38000
2h2j,5.38000
1uyi,5.39000
2h6b,5.39000
1kyn,5.39000
1hy7,5.39000
1qbv,5.39000
1tv6,5.40000
3gwx,5.40000
2i80,5.40000
2f35,5.40000
2c1p,5.40000
1yi3,5.40000
1uvs,5.40000
1uu9,5.40000
1trd,5.40000
3pch,5.40000
1r9l,5.40000
1bp0,5.40000
1bq3,5.40000
1f8b,5.40000
1m7i,5.40000
1t1r,5.40000
1mxu,5.40000
1pz5,5.40000
1mmr,5.40000
1my3,5.40000
1nym,5.40000
1dzm,5.41000
1u2r,5.41000
1xxe,5.41000
2aia,5.41000
2j47,5.41000
2a3w,5.42000
1xot,5.42000
1r5n,5.42000
1h9z,5.42000
1nu8,5.42000
1gja,5.42000
1p28,5.42000
1abf,5.42000
1fq7,5.43000
1syi,5.44000
1ijr,5.44000
1dzp,5.44000
1a4q,5.44000
1h0a,5.44000
2iko,5.45000
2cn8,5.46000
1q65,5.46000
1nnk,5.46000
2fie,5.46000
1lf8,5.46000
1b4h,5.46000
1anf,5.46000
1lv8,5.46000
1g7f,5.47000
1gi1,5.47000
1nlo,5.47000
1o2s,5.47000
1xh5,5.47000
2hf8,5.47000
1g85,5.48000
1uh1,5.48000
2cbv,5.48000
2ioa,5.49000
2h4k,5.49000
1tys,5.49000
1pyn,5.49000
1pot,5.49000
2ajb,5.50000
3vgc,5.51000
1ggn,5.51000
2gc8,5.51000
1a8i,5.52000
7gpb,5.52000
2hwi,5.52000
2gz8,5.52000
2gcd,5.52000
2cht,5.52000
1xxi,5.52000
1ydr,5.52000
1oe8,5.52000
1oe7,5.52000
1lox,5.52000
1kc7,5.52000
1h07,5.52000
1tl9,5.52000
1pyg,5.52000
1szm,5.53000
2c9b,5.54000
2olb,5.54000
2nq7,5.54000
1oiq,5.54000
1ha2,5.54000
1bio,5.54000
1kdw,5.54000
1g3d,5.55000
1njc,5.55000
1y3n,5.55000
2c2l,5.55000
2iuz,5.55000
1cs4,5.57000
1jak,5.57000
1njd,5.57000
1rtl,5.59000
1fo0,5.59000
1f4x,5.59000
1mfi,5.59000
1e06,5.60000
1e1y,5.60000
1kne,5.60000
1lev,5.60000
1o9d,5.60000
1vfn,5.60000
2f71,5.60000
2bmk,5.62000
1fyr,5.62000
1ejn,5.62000
1aqi,5.62000
1cqp,5.62000
1a08,5.62000
1vwl,5.63000
4mbp,5.64000
2gni,5.64000
1z9g,5.64000
1y3v,5.64000
1qs4,5.64000
1y3y,5.64000
1hte,5.64000
1hlf,5.64000
1hk1,5.64000
1h1r,5.64000
1f57,5.64000
1lrt,5.64000
1hq5,5.65000
2aod,5.66000
2bsu,5.66000
2erz,5.66000
2aie,5.66000
2f4j,5.66000
1o43,5.66000
1nhv,5.66000
1n5r,5.66000
1nhu,5.66000
1pxk,5.66000
2bb7,5.67000
2qwf,5.67000
1gnn,5.68000
1e8h,5.68000
2cbu,5.68000
2an5,5.68000
2c92,5.68000
1pwu,5.68000
1oxn,5.68000
1ow4,5.68000
1nhx,5.68000
1tve,5.68000
1y2d,5.70000
7gch,5.70000
2hwh,5.70000
2h3e,5.70000
2f2h,5.70000
2ccs,5.70000
2bw7,5.70000
2bgn,5.70000
2avm,5.70000
2adm,5.70000
9lpr,5.70000
1xt3,5.70000
1o4b,5.70000
1pgp,5.70000
1a46,5.70000
1a99,5.70000
1egh,5.70000
1g4k,5.70000
1dkd,5.70000
1g9r,5.70000
1i32,5.70000
1i48,5.70000
1jsv,5.70000
1n1m,5.70000
1g98,5.70000
1cka,5.72000
1obx,5.72000
1zdp,5.74000
2flb,5.74000
2b1v,5.74000
1zyr,5.74000
1t7f,5.74000
2c68,5.74000
1o5e,5.74000
1o34,5.74000
1o33,5.74000
1o32,5.74000
1g3b,5.74000
1dmb,5.74000
1bkm,5.74000
1qy2,5.74000
1p1o,5.76000
1rhm,5.76000
2cmc,5.76000
1vjj,5.77000
2h44,5.77000
2boj,5.77000
1y3w,5.77000
1xh8,5.77000
1q66,5.77000
1o5b,5.77000
1kds,5.77000
1jmf,5.77000
