,PDBID,pK
0,3zzf,0.40
1,3gww,0.45
2,1w8l,0.49
3,3fqa,0.49
4,1zsb,0.60
5,4obv,0.75
6,1wkm,0.82
7,3k41,0.82
8,4eu3,0.82
9,2w97,0.96
10,1p0y,1.00
11,2b1r,1.00
12,2d2v,1.00
13,2a31,1.01
14,1aw1,1.05
15,1maw,1.10
16,3fl9,1.11
17,4lh2,1.24
18,4to8,1.24
19,4fci,1.26
20,4fck,1.26
21,4clp,1.27
22,1f9g,1.28
23,1a0t,1.30
24,1b74,1.30
25,2fah,1.30
26,2igw,1.31
27,2vl1,1.35
28,3nm6,1.35
29,1qpb,1.36
30,1hty,1.40
31,1o4l,1.40
32,1o4m,1.40
33,1o4n,1.40
34,2hdq,1.40
35,3eor,1.40
36,3e81,1.43
37,1ozv,1.44
38,1utp,1.44
39,1tnk,1.49
40,4bh4,1.49
41,4lh3,1.52
42,5ct1,1.52
43,3mwe,1.54
44,4amw,1.55
45,1iig,1.57
46,3rup,1.57
47,5cs5,1.58
48,2b1q,1.59
49,1w8m,1.60
50,3itc,1.60
51,2it4,1.62
52,1a7t,1.64
53,4d63,1.64
54,1hgj,1.66
55,1rdj,1.66
56,2o9r,1.68
57,4qsw,1.68
58,2sfp,1.70
59,3gf2,1.70
60,3oay,1.70
61,4tyb,1.70
62,3g6m,1.71
63,2hdr,1.72
64,3ern,1.72
65,3vzg,1.72
66,3zst,1.72
67,1u2y,1.74
68,4qsx,1.74
69,4bgx,1.77
70,3f39,1.78
71,2zgm,1.79
72,1ga8,1.80
73,3rxh,1.80
74,1af6,1.82
75,1bra,1.82
76,1d5r,1.82
77,1y1m,1.82
78,3eqb,1.82
79,4ahv,1.82
80,1rdn,1.84
81,1fd7,1.85
82,3khv,1.85
83,1tnl,1.88
84,2ay2,1.88
85,4x8s,1.89
86,1f2p,1.90
87,4mrh,1.90
88,1f2o,1.91
89,1efi,1.92
90,3ehn,1.92
91,4bh3,1.92
92,2rjr,1.94
93,4mrf,1.95
94,1tnj,1.96
95,2gga,1.96
96,1wdq,1.98
97,3i3d,1.99
98,1gbt,2.00
99,1ing,2.00
100,2bmv,2.00
101,2hds,2.00
102,2r58,2.00
103,3c2f,2.00
104,3g2y,2.00
105,3pce,2.00
106,3rv3,2.00
107,4awj,2.00
108,4ctk,2.00
109,4kz5,2.00
110,4qsu,2.00
111,4qsv,2.00
112,4u58,2.00
113,4ty8,2.03
114,2ks9,2.04
115,1jfh,2.05
116,4e4a,2.05
117,4ty9,2.05
118,4x8t,2.05
119,1qq9,2.06
120,1rdi,2.06
121,2zg3,2.06
122,4u54,2.06
123,3ao4,2.07
124,4b0c,2.07
125,3rxp,2.08
126,1njj,2.10
127,2zg1,2.10
128,4aml,2.10
129,4cs9,2.10
130,3uf9,2.11
131,1qx1,2.12
132,2w8w,2.12
133,3gv9,2.12
134,1p2g,2.13
135,1uxb,2.15
136,3rxg,2.15
137,4b0j,2.15
138,4q90,2.15
139,5cs3,2.15
140,2ay9,2.16
141,4tim,2.16
142,3gqz,2.17
143,3l7d,2.18
144,4ahr,2.19
145,4ahs,2.19
146,4amx,2.19
147,4jdf,2.19
148,4mre,2.19
149,1w1v,2.20
150,2vvo,2.20
151,4eh8,2.20
152,1x8d,2.21
153,4g0z,2.21
154,1icj,2.22
155,1m0n,2.22
156,2aac,2.22
157,4aci,2.22
158,4uru,2.22
159,4ury,2.22
160,4x11,2.22
161,1ajp,2.23
162,2igv,2.23
163,3ao5,2.23
164,3i3b,2.23
165,1rdl,2.24
166,2ay8,2.24
167,2os9,2.24
168,1ukt,2.25
169,1ew8,2.26
170,3ao1,2.26
171,4eh9,2.26
172,4np2,2.26
173,1hge,2.27
174,1uto,2.27
175,4ahu,2.27
176,4mfe,2.27
177,1ps3,2.28
178,2rjs,2.28
179,3fu0,2.28
180,3ip8,2.28
181,2ay1,2.29
182,4ddk,2.29
183,4ehv,2.29
184,1hyv,2.30
185,1inh,2.30
186,1jdj,2.30
187,1n1g,2.30
188,1o4g,2.30
189,1uxa,2.30
190,1w1p,2.30
191,2ay7,2.30
192,2hdu,2.30
193,2xix,2.30
194,2xlc,2.30
195,3dyo,2.30
196,3kgq,2.30
197,3mhw,2.30
198,3pcg,2.30
199,3rv4,2.30
200,4b6e,2.30
201,4e3d,2.30
202,4g0y,2.30
203,4jsz,2.30
204,4led,2.30
205,4wh7,2.30
206,1m0o,2.31
207,4y0a,2.31
208,2qve,2.32
209,5aol,2.32
210,1z6d,2.34
211,4iie,2.34
212,1qi0,2.35
213,3gtc,2.35
214,4k3k,2.35
215,1o4j,2.36
216,3g2z,2.36
217,3t0d,2.37
218,4jck,2.37
219,6rnt,2.37
220,3f6e,2.38
221,4aj2,2.38
222,1f73,2.39
223,1nwl,2.39
224,4nyt,2.39
225,4tya,2.39
226,2wi1,2.40
227,3dxg,2.40
228,3l7b,2.40
229,3pcb,2.40
230,3t2t,2.40
231,4u5l,2.40
232,4zsm,2.40
233,1o4r,2.41
234,2wsx,2.41
235,4u5s,2.41
236,4u5o,2.42
237,1o4h,2.44
238,1oba,2.44
239,1t4s,2.44
240,2i2b,2.44
241,2xiy,2.44
242,3ked,2.44
243,3l7c,2.44
244,3mjl,2.44
245,4d62,2.44
246,1gbq,2.46
247,1o4o,2.46
248,2aez,2.46
249,3l79,2.46
250,4ah9,2.46
251,4ddm,2.46
252,4eh6,2.46
253,4x8u,2.46
254,1tok,2.47
255,1utl,2.47
256,3rik,2.47
257,4gne,2.47
258,1gyx,2.48
259,4u5n,2.48
260,1o4q,2.49
261,4efk,2.49
262,4ej2,2.49
263,4kz7,2.49
264,1ai4,2.50
265,3g30,2.51
266,4ctj,2.51
267,1rq2,2.52
268,1wdr,2.52
269,3ad7,2.52
270,3bf1,2.52
271,3fq7,2.52
272,3gr2,2.52
273,3mfv,2.52
274,3vdb,2.52
275,4e3f,2.52
276,4g0q,2.52
277,4urz,2.52
278,4hj2,2.53
279,1iup,2.54
280,1il3,2.55
281,1kf0,2.55
282,3b3s,2.55
